Word,Orthography w/ tones,IPA,English,Spanish,Tone Melody,Syllable Structure,Phonation Type,Part of Speech,Semantic Domain,Speaker,Sound File,Notes,Checked?,Need
katyinu,kàtyǐñu,[kàt͡ʃi᷈̌u],work (completive),trabajar (completive),LRM,CVCCVV,modal,verb (completive),social events and responsibilities,,,,,
katyinu,kátyíñu,[kát͡ʃi᷈́u],work (continuative),trabajar (continuative),HHM,CVCCVV,modal,verb (continuative),social events and responsibilities,,,,,
katyinu,katyíñu,[kat͡ʃi᷈́u],work (potential),trabajar (potential),MHM,CVCCVV,modal,verb (potential),social events and responsibilities,,,,,
katyuun,kàtyǔun,[kàt͡ʃǔũ],work (completive),trabajar (completive),LRM,CVCCVV,modal,verb (completive),social events and responsibilities,,,,,
katyuun,kátyúun,[kát͡ʃúũ],work (continuative),trabajar (continuative),HHM,CVCCVV,modal,verb (continuative),social events and responsibilities,,,,,
katyuun,katyúun,[kat͡ʃúũ],work (potential),trabajar (potential),MHM,CVCCVV,modal,verb (potential),social events and responsibilities,,,,,
kava,kāvà,[kāβà],to fold (completative),doblar (completative),ML,CVCV,modal,verb (potential),Actions and activities,NGC,doblar(comp).wav,,,
kava,kávà,[káβà],to fold (continuative),doblar (continuative),HL,CVCV,modal,verb (completive),Actions and activities,NGC,doblar(cont).wav,,,
kava,kāvā,[kāβā],to fold (potential),doblar (potential),MM,CVCV,modal,verb (continuative),Actions and activities,NGC,doblar(pot).wav,,,
kava,kāvā,[kāβā],to bend (potential),doblarse (pot) (una barrilla),MM,CVCV,modal,verb (potential),Actions and activities,NGC,doblarse(pot).wav,,,
kaxin,káxin,[káʃĩ],obviously,obvio,HM,CVCV,modal,adverb,,,,"as in ""I'll explain it to you clearly""",,
kayi,,[kaji],sound,sonido,,CVCV,modal,noun,,NGC,,,,Tones
kayu'u,kàyu'ú,[kàjuˀú],yell (completive),gritar (completive),LMH,CVCV?V,glottalized,verb (completive),Actions and activities,,gritar-comp.wav,,,
kayu'u,káyu'ú,[kájuˀú],yell (continuative),gritar (continuative),HMH,CVCV?V,glottalized,verb (continuative),Actions and activities,,gritar-cont.wav,,,
kayu'u,kayu'ú,[kajuˀú],yell (potential),gritar (potential),MMH,CVCV?V,glottalized,verb (potential),Actions and activities,,gritar-pot.wav,,,
keeva'a,kèevà'a,[kèeβàˀa],win2 (comp),ganar (comp),LMLM,CVVCV?V,glottalized,verb (completive),Actions and activities,,,,,
keeva'a,kéevà'a,[kéeβàˀa],win2 (cont),ganar (cont),HMLM,CVVCV?V,glottalized,verb (continuative),Actions and activities,,,,,
keeva'a,keevà'a,[keeβàˀa],win2 (pot),ganar (pot),MMLM,CVVCV?V,glottalized,verb (potential),Actions and activities,,,,,Check Duplicate
keva'a,kévà'ǎ,[kéβàˀǎ],wins,gana,HLR,CVCV?V,glottalized,verb,Actions and activities,,gana.wav,,,Verb Tense
keva'a,kèvà'a,[kèβàˀa],win (completive),ganar (completive),LLM,CVCV?V,glottalized,verb (completive),Actions and activities,,ganar-comp.wav,,,
keva'a,kévà'a,[kéβàˀa],win (continuative),ganar (continuative),HLM,CVCV?V,glottalized,verb (continuative),Actions and activities,,ganar-cont.wav,,,
keva'a,kevà'a,[keβàˀa],win (potential),ganar (potential),MLM,CVCV?V,glottalized,verb (potential),Actions and activities,,ganar-pot.wav,,,Check Duplicate
ki'tyi vali,ki'tyi válí,[kiˀt͡ʃi βálí],bug,bicho,MM HH,CV?CV CVCV,glottalized,noun,wild animals,,bicho.wav,,,
kia'mi,kiá'mǐ,[kʲáˀmǐ],squash,calabaza,HR,CV?CV,glottalized,noun,"food, drink, and cooking",,calabaza.wav,,,
kiani nuu,kuanì nuu,[kʷãì nuu],step on (pot),pisar (pot),ML MM,CVV CVV,modal,verb (potential),Actions and activities,,,,,
